dynasty_id,dynasty_name_tr,dynasty_name_ar,dynasty_name_en,parent_tribe_or_clan,ethnic_origin,region_primary,regions_all,capital_city,date_start_hijri,date_end_hijri,date_start_ce,date_end_ce,sub_branch,allied_dynasties,rival_dynasties,predecessor,successor,end_cause,migration_conquest_notes,chapter,notes,ethnic_tags,government_type,religious_orientation,importance_level,capital_lat,capital_lon,duration_years_approx,century_start,century_end,geographic_zone,region_center_lat,region_center_lon,region_bbox_n,region_bbox_s,region_bbox_e,region_bbox_w,governance_detail,religious_detail,military_system,economic_base,cultural_tags,historical_period
23,Karamanlılar,al-Qaramānliyyūn,The Qaramānlīs,Kuloğlu (Yeniçeri-yerel kadın evliliği),Türk (Kuloğlu),Trablusgarb,"Libya (Trablusgarb, Fizan, Bingazi)",Trablus (Tarabulus al-Gharb),1123,1251,1711,1835,,İngiltere; Fransa (ticaret),Osmanlı İmparatorluğu (son dönem),Osmanlı doğrudan yönetimi,Osmanlı doğrudan yönetiminin yeniden tesisi (Mahmud II),Osmanlı Sultan II. Mahmud'un askeri seferi; Karamanlılar devrildi (1251/1835),Ahmad Qaramanlı kaos ortamında iktidarı ele geçirdi; İstanbul'dan Beylerbeylik unvanı aldı,Chapter 3: North Africa,İsim kaynağı muhtemelen Anadolu'daki Karaman; Berberi korsanları üssü; yalnızca Osmanlı sultanı adına sikke bastılar,Türk,Hanedan/Beylik,,Normal,32.9,13.18,124,18,19,Kuzey Afrika,32.5,14.0,33.5,29.0,25.0,10.0,Vasal Devlet,Sünnî Hanefî,Karma Profesyonel,Deniz Ticareti,,Erken Modern
24,Senûsî Reisleri ve Hükümdarları,al-Sanūsiyyūn,The Sanūsī Chiefs and Rulers,İdrîsî Şerifler (tarikat kurucusu),Arap (Şerif),Doğu Sudan ve Libya,Sirenaika; Fizan; Çad; Hicaz (zâviyeler),Cağbub (Jaghbūb); Kufra; ardından Bingazi,1253,1389,1837,1969,,Osmanlı İmparatorluğu (Pan-İslam politikası); İngiltere (II. Dünya Savaşı),İtalya; Fransa (Çad'da),Osmanlı doğrudan yönetimi / Karamanlılar,Libya Cumhuriyeti (Muammer Kaddafi darbesi),Askeri darbe (1969); Kral İdris devrildi,"Tarikat kurucusu Cezayir doğumlu, Fas'ta eğitim, Hicaz'da tarikat kurdu; Sirenaika'ya yerleşti; trans-Sahra zâviyeleri",Chapter 3: North Africa,Dini hareketten modern devlete dönüşüm (Suudi Arabistan'a benzer); İtalyan işgaline 20 yıl direniş; 1955 petrol keşfi; Libya 1951 bağımsız; 1963 üniter devlet,Arap,Hanedan/Beylik,,Normal,29.73,24.2,132,19,20,Kuzey Afrika,29.0,22.0,33.0,24.0,25.0,10.0,Tarikat Devleti,Sünnî (Senûsî Tarikatı),Kabile Ordusu,Tarım,,Sömürge
25,Tolunoğulları,al-Tūlūniyyūn,The Tūlūnids,Türk askerî ailesi (Buhara kökenli),Türk,Mısır ve Suriye,Mısır; Filistin; Suriye; Kuzey Mezopotamya (Cezire),Fustat (Eski Kahire) / al-Qatā'i',254,292,868,905,,,Abbâsîler; Karmatîler,Abbâsî valileri,Abbâsî doğrudan yönetimi (30 yıl),Abbâsî generali Muhammad b. Süleymān'ın fethi (292/905),"Ahmad b. Tūlūn Abbâsî valisi olarak geldi, bağımsızlaştı; Humaraveyh'e 30 yıllık yetki belgesi (yıllık 300.000 dinar haraç)",Chapter 4: Egypt and Syria,"Mısır ve Suriye'nin ilk özerk yerel hanedanı; çok etnisiteli ordu (Bedevîler, Rumlar, Nübyalılar); Ahmad'ın camisi hâlâ ayakta; al-Qatā'i' askerî mahallesi; güçlü donanma",Türk,Beylik,,Normal,30.04,31.24,37,9,10,Mısır/Şam,30.0,31.2,31.5,24.0,35.0,25.0,Gulâm/Köle Hanedanı,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Tarım,Mimari,Erken Abbâsî
26,İhşîdîler,al-Ikhshīdiyyūn,The Ikhshīdids,Türk askerî ailesi (Fergana/Soğd kökenli),Türk,Mısır ve Güney Suriye,Mısır; Güney Suriye; Filistin,Fustat,323,358,935,969,,Abbâsîler (sadık tâbi),Fâtımîler; Hamdânîler,Abbâsî valileri,Fâtımîler (general Cevher'in fethi),Fâtımî generali Cevher'in Fustat'ı fethi (358/969),Muhammad b. Tuğç Abbâsî valisi olarak atandı (323/935); İhşîd unvanını al-Rādī'den aldı (İran kökenli unvan = 'prens'),Chapter 4: Egypt and Syria,Kāfūr al-Lābī (Nübyalı hadım köle) fiili yönetici; şair al-Mutanabbī'nin hamisi; Fâtımî ilerleyişini durdurdu; Hamdânîleri Suriye'de kontrol altında tuttu,Türk,Hanedan/Beylik,,Normal,30.01,31.23,34,10,10,Mısır/Şam,30.0,31.2,35.0,24.0,36.0,25.0,Gulâm/Köle Hanedanı,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Tarım,,Geç Abbâsî
27,Fâtımîler,al-Fātimiyyūn,The Fātimids,Alevî soy iddiası (Hz. Fâtıma soyundan),Arap (Alevî/İsmâilî),Mısır (başlangıçta Kuzey Afrika),İfrîkıye; Mısır; Güney Suriye; Filistin; Sicilya; Hicaz; Yemen (davet),"al-Mahdiyya (İfrîkıye); Kahire (al-Qāhira, 358/969'dan itibaren)",297,567,909,1171,,Kutāma Berberleri; Kelbîler (Sicilya),Abbâsîler; Endülüs Emevîleri; Karmatîler; Selçuklular; Haçlılar,Ağlebîler (İfrîkıye); İhşîdîler (Mısır),Eyyûbîler (Salâhaddin),Eyyûbî Salâhaddin'in Fâtımî hilâfetini ilgası (567/1171); son halife yatağında ölürken,Dāʿī Ebū 'Abdallāh Kutāma Berberleriyle İfrîkıye'yi fethetti; 358/969'da general Cevher Mısır'ı fethetti; Kahire (al-Qāhira) kuruldu,Chapter 4: Egypt and Syria,İsmâilî Şiî hilâfet; al-Ezher kuruldu; Dürzîlik al-Hākim döneminde; Nizārî-Müsta'lî bölünmesi (487/1094); ekonomik refah; sanat ve mimari; toleranslı yönetim (Hristiyan/Yahudi vezirler),Arap,Hanedan/Beylik,Şiî,Normal,30.04,31.24,262,10,12,Kuzey Afrika,30.0,33.0,37.0,22.0,50.0,25.0,Merkezi İmparatorluk,Şiî İsmâilî (Fâtımî),Karma Profesyonel,Ticaret/Transit,UNESCO Miras;Kütüphane;Mimari;Bilim/Rasathane;Edebiyat,Erken Abbâsî
28,Mirdâsîler,Banū Mirdās,The Mirdāsids,Kilāb kabilesi (Kuzey Arap),Arap (Bedevî),Kuzey ve Orta Suriye (Halep),Halep; Rahba; Rakka,Halep (Halab),415,472,1024,1080,,Bizans (genel olarak dostane); Selçuklular (geç dönem bağlılık),Fâtımîler; Türkmen maceraperestler,Hamdânîler (Halep mirası),Ukaylîler ('Uqaylid Muslim b. Quraysh),İç savaş (Sābiq-Waththāb); Selçuklu Tutuş baskısı; şehir Ukaylîlere devredildi (472/1080),Kilāb kabilesi Fırat boyundan Halep'e göç etti; Sālih b. Mirdās 415/1024'te Halep'i aldı,Chapter 4: Egypt and Syria,"Hamdânîlerin varisi; Fâtımîler iki kez Halep'i işgal etti (429-33, 449-52); Bizans'ın olumlu tutumu hayatta kalmalarını sağladı; Selçuklu ilerleyişiyle yeni durumla karşılaştılar",Arap,Hanedan/Beylik,,Normal,36.20,37.15,56,11,11,Mısır/Şam,30.5,33.0,35.0,22.0,40.0,25.0,Federal/Konfederasyon,Sünnî Şâfiî,İktâ Sistemi,Tarım,UNESCO Miras;Mimari;Edebiyat,Selçuklu Çağı
29,Suriye Nizârî İsmâilîleri (Haşhaşîler) Baş Dāʿīleri,Du'āt al-Nizāriyya fī al-Shām,The Chief Dā'īs of the Nizārī Ismā'īlīs or Assassins in Syria,İsmâilî tarikat (Alamut'a bağlı),"Çeşitli (Arap, Fars, Türk)",Batı Suriye dağları (Cebeliensâriyye),Batı Suriye dağları; Selemiye (sonraki merkez),Masyāf ve diğer kaleler,c. 493,c. 671,c. 1100,c. 1273,,Eyyûbîler (genel olarak dostane),Haçlılar; Memlûkler (Baybars),Fâtımî İsmâilîliğinden kopuş (Nizārî kolu),Memlûk Baybars'ın tâbiiyeti (671/1273'e kadar kaleler teslim),Memlûk Baybars kalelerini birer birer aldı; Kahf kalesi 671/1273'te teslim oldu,Alamut'tan gelen ajanlar tarafından Suriye'de kuruldu; 12. yy ortasında kaleler edinildi; Moğol saldırısından sağ kaldılar,Chapter 4: Egypt and Syria,En büyük liderleri Reşîdüddin Sinān (Dağın Şeyhi); Haçlı-Müslüman çekişmelerinde rol oynadılar; Suriye İsmâilî topluluğu günümüze kadar (merkez: Selemiye) varlığını sürdürdü,Türk|Arap,Hanedan/Beylik,,Normal,35.07,36.32,173,11,13,Mısır/Şam,35.0,36.5,36.0,34.0,37.0,35.5,Tarikat Devleti,Şiî İsmâilî (Nizârî),Karma Profesyonel,Haraç/Vergi,,Selçuklu Çağı
30,Eyyûbîler,al-Ayyūbiyyūn,The Ayyūbids,Hezbânî Kürtleri,Kürt (Türkleşmiş),"Mısır, Suriye, Diyâr-ı Bekr, Cezire, Yemen",Mısır; Suriye; Filistin; Diyâr-ı Bekr; Cezire; Yemen; Hicaz,Kahire (Mısır); Şam (Suriye); Halep; Hama; Hıms; Mayyāfāriqīn; Hısn Keyfā,564,c. 900,1169,c. 15. yy sonu,"1. Mısır kolu; 2. Şam kolu; 3. Halep kolu; 4. Hıms kolu; 5. Hama kolu; 6. Diyâr-ı Bekr (Mayyāfāriqīn); 7. Diyâr-ı Bekr (Hısn Keyfā); 8. Yemen kolu; 9. Küçük kollar (Ba'lebek, Kerek, Bāniyās, Busrā)",Zengîler (başlangıçta hizmet); Abbâsîler (Sünnî bağlılık),Haçlılar; Fâtımîler; Moğollar; Memlûkler,Fâtımîler (Mısır); Zengîler (Suriye),Memlûkler (Mısır/Suriye); Resûlîler (Yemen); Akkoyunlular (Hısn Keyfā),Memlûk Aybak'ın iktidarı ele geçirmesi (648/1250); Moğol istilaları; son kol Hısn Keyfā 15. yy sonunda Akkoyunlularca fethedildi,Şîrkûh Fâtımî Mısır'ı fethetti (564/1169); Salâhaddin Hıttîn zaferi (583/1187) ve Kudüs'ün fethi; al-Kāmil Kudüs'ü İmparator II. Friedrich'e teslim etti (626/1229),Chapter 4: Egypt and Syria,"9 alt kol; al-Malik + sıfat unvan geleneği (al-Nāsir, al-Kāmil vb.); konfederatif yapı; Sünnî restorasyon politikası; cami ve medrese inşaat dalgası; Ebü'l-Fidā tarihçi-coğrafyacı (Hama kolu); Hısn Keyfā kolu İlhanlı ve Timurlu dönemlerini aştı",Türk|İranî|Kürt,Hanedan/Beylik,Sünnî,Normal,33.51,36.29,,,,Mısır/Şam,30.0,31.5,34.0,22.0,36.0,25.0,Gulâm/Köle Hanedanı,Sünnî Şâfiî,Gulâm/Memlûk Sistemi,Ticaret/Transit,UNESCO Miras;Mimari;Edebiyat;Sikke,Selçuklu Çağı
31,Memlûkler,al-Mamālīk,The Mamlūks,Kıpçak Türkleri (Bahrî); Çerkesler (Burcî),Türk (Bahrî) / Çerkes (Burcî),Mısır ve Suriye,Mısır; Suriye; Filistin; Hicaz; Kuzey Irak kısmen; Kilikya; Nübya; Kıbrıs (haraçgüzar),Kahire,648,922,1250,1517,1. Bahrî kol (648-792/1250-1390); 2. Burcî (Çerkes) kol (784-922/1382-1517),Kukuk Abbâsî halifeleri (Kahire'de); Dulkadiroğulları (tampon devlet),Moğollar (İlhanlılar); Haçlılar; Osmanlılar; Timur,Eyyûbîler,Osmanlı İmparatorluğu (Sultan Selim I),Osmanlı fethi; Kansavh II al-Ghawrī Mercidābık'ta öldü (922/1516); Tomanbay II idam edildi (923/1517),Aybak Eyyûbî Bahrî köle askerlerinden iktidarı aldı; Kutuz Ayn Câlût'ta Moğolları yendi (658/1260); Baybars son Haçlı kalelerini temizledi; 13. yy sonunda Kilikya Ermeni Krallığı sona erdirildi,Chapter 4: Egypt and Syria,"Köle kökenli askerî elit; Bahrî = Nil adası (al-Rawda) kışlası; Burcî = Kahire kalesi kışlası; veraset genellikle başarısız, askeri usurpasyon yaygın; Kalâvun ailesi 3 kuşak; Sünnîlik savunuculuğu; Karamî tüccarlar; Kara Veba etkisi; top/tüfek kullanmama sorunu",Türk,Hanedan/Beylik,Sünnî,Normal,30.04,31.24,267,13,16,Mısır/Şam,30.0,31.5,38.0,22.0,42.0,25.0,Gulâm/Köle Hanedanı,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Ticaret/Transit,Mimari;Edebiyat;Sikke,Moğol Sonrası
32,Lübnan Ma'noğulları,Banū Ma'n,The Ma'nids of Lebanon,Ma'n ailesi (Dürzî Arap),Arap (Dürzî),Güney Lübnan (Şūf),Şūf; Lübnan Dağı; geniş dönemde Palmira'ya kadar Suriye,Dayr al-Qamar,c. 10. yy,1108,c. 16. yy,1697,,Marunîler (Kısravān); Medici Dükalığı (Toskana),Osmanlı İmparatorluğu (zaman zaman),Buhtur ailesi (Gharb),Şihâb Emirleri,Ahmad b. Mulhim'in ölümüyle doğrudan soy sona erdi (1108/1697),Osmanlılar 922/1516'da Suriye'yi aldığında Ma'noğulları Buhtur ailesinin yerini aldı,Chapter 4: Egypt and Syria,Fahreddin II en önemli şahsiyet; İtalya'da sürgün; Lübnan ulusal kimliğinin öncüsü sayılır; Dürzî-Marunî işbirliği geleneği; Osmanlı vergi mültezimi; idam edildi,Arap,Beylik,,Normal,33.79,35.57,,,,Mısır/Şam,33.8,35.7,34.5,33.2,36.5,35.0,Vasal Devlet,Sünnî (Dürzî etkili),Kabile Ordusu,Tarım,,Erken Modern
33,Şihâb Emirleri,al-Shihābiyyūn,The Shihāb Amīrs of Lebanon,Şihâb ailesi (Sünnî Müslüman),Arap (Sünnî → kısmen Marunî),Lübnan Dağı,Lübnan Dağı,Dayr al-Qamar,1109,1257,1697,1842,,Mehmed Ali Paşa (Mısır),Ahmad Cezzar Paşa; Osmanlı İmparatorluğu,Ma'noğulları (akrabalık yoluyla),Osmanlı doğrudan yönetimi (1842),Mısır meselesi sonrası müttefik/Osmanlı müdahalesi; Beşir III sürgün edildi; doğrudan Osmanlı yönetimi (1257/1842),Beşir I Ma'noğulları Ahmad'ın kız torunu; Mulhim'in oğulları Hristiyanlığa geçti; Yūsuf ilk Marunî Şihâb emiri,Chapter 4: Egypt and Syria,Dürzî feodal beyler fiili güç; Beşir II en önemli şahsiyet; Napolyon sonrası karmaşık politika; Mehmed Ali ile işbirliği,Arap,Hanedan/Beylik,,Normal,33.79,35.57,145,17,19,Mısır/Şam,33.8,35.7,34.5,33.2,36.5,35.0,Vasal Devlet,Sünnî (Dürzî/Mârûnî etkili),Kabile Ordusu,Tarım,,Erken Modern
34,Kavalalı Mehmed Ali Hanedanı,Usrat Muhammad 'Alī,The House of Muhammad 'Alī,Arnavut kökenli Osmanlı askeri ailesi,Arnavut/Türk (Osmanlı),Mısır,Mısır; Sudan; Hicaz (geçici); Suriye (geçici); Mora (geçici),Kahire,1220,1372,1805,1953,,Osmanlı İmparatorluğu (teorik tâbiiyet); İngiltere; Fransa,Memlûkler (tasfiye); Vehhâbîler; Osmanlılar (zaman zaman),Osmanlı doğrudan yönetimi (Memlûk askerî sınıfı),Mısır Cumhuriyeti (Hür Subaylar - Necib/Nâsır),Hür Subaylar darbesi (1952); Fârûk tahttan çekildi; oğlu Fu'ād II nominal; cumhuriyet 1953,Kavala'dan (Makedonya) Osmanlı-Arnavut ordusuyla geldi; Fransızları çıkardıktan sonra fiili yönetici; Memlûkleri katletti (1226/1811); Sudan seferi; Vehhâbî devletini yıktı; İbrahim Paşa Suriye'yi fethetti,Chapter 4: Egypt and Syria,"Batılılaşma öncüsü; Süveyş Kanalı; Hidiv unvanı (İsmail Paşa, 1284/1867); İngiliz işgali (1882); İngiliz Himayesi (1914-22); Kral unvanı (Fu'ād I, 1922); Vefd Partisi mücadelesi; Arap-İsrail savaşı (1948) başarısızlığı",Türk,Hanlık,,Normal,30.04,31.24,148,19,20,Mısır/Şam,35.5,40.5,37.5,33.0,46.0,35.0,Vasal Devlet,Şiî İsnâaşerî,Gulâm/Memlûk Sistemi,Ticaret/Transit,Edebiyat,Sömürge
35,Hamdânîler,al-Hamdāniyyūn,The Hamdānids,Tağlib kabilesi (Kuzey Arap),Arap,Musul/Cezire ve Halep/Kuzey Suriye,Musul; Cezire (Kuzey Mezopotamya); Halep; Kuzey Suriye,Musul (Mawsil); Halep (Halab),317,394,929,1004,1. Musul ve Cezire kolu; 2. Halep ve Kuzey Suriye kolu,Abbâsîler (hizmet); Bizans (zaman zaman),Büveyhîler; Fâtımîler; Bizans (savaş); İhşîdîler,Abbâsî valileri,Ukaylîler (Musul); Mirdâsîler (Halep); Fâtımîler,Musul: Ukaylî fethi; Halep: Fâtımî baskısı ve iç çöküş,"Hamdān b. Hamdūn'un torunları; Nāsir al-Dawla Musul'da, Sayf al-Dawla Halep'te iki kol kurdu",Chapter 5: Iraq and Jazira,"Sayf al-Dawla Halep'te görkemli saray; şair al-Mutanabbī ve filozof al-Fārābī hamisi; Bizans'a karşı gazâ; Hâsidî lakap geleneği (Nāsir al-Dawla, Sayf al-Dawla vb.)",Arap,Hanedan/Beylik,,Normal,36.34,43.13,75,10,11,Mısır/Şam,34.5,37.5,36.5,33.0,41.0,35.0,Vasal Devlet,Sünnî Hanefî,Kabile Ordusu,Tarım,,Geç Abbâsî
36,Mezyed oğulları,al-Mazyadiyyūn,The Mazyadids,Esed (Asad) kabilesi,Arap (Bedevî),Hille (Orta Irak),Hille; Kufe bölgesi; Orta Irak,Hille (al-Hilla),c. 350,545,c. 961,1150,,Büveyhîler (başlangıçta); Selçuklular (geç dönem tâbiiyet),Abbâsîler; Selçuklular (çatışma),,Selçuklu doğrudan kontrolü,Selçuklu baskısı; son emirin iktidardan düşmesi,Esed kabilesi Irak'ın orta bölgesine göç etti; Kufe yakınlarında yarı-Bedevî emirlik,Chapter 5: Iraq and Jazira,Dubays b. Sadaqa en ünlü emir; Hille şehrini kurdu; Şiî mezhep eğilimli; Selçuklularla çekişmeli ilişki,Arap,Beylik,Şiî,Normal,32.47,44.42,189,10,12,Irak/Cezîre,32.5,44.5,34.0,31.0,46.0,43.0,Vasal Devlet,Şiî İsnâaşerî,Kabile Ordusu,Tarım,,Geç Abbâsî
37,Mervânîler (Diyâr-ı Bekr),al-Marwāniyyūn,The Marwānids,Kürt (Daysam/Hemevan aşireti),Kürt,Diyâr-ı Bekr (Güneydoğu Anadolu),Diyâr-ı Bekr; Mayyāfāriqīn; Amid (Diyarbakır); Ceziretülibn Ömer,Mayyāfāriqīn; Amid,373,478,983,1085,,Büveyhîler; Fâtımîler (zaman zaman),Selçuklular; Bizans,Büveyhî tâbiiyeti altında yerel beyler,Selçuklu fethi,Selçuklu sultanı Melikşah'ın Diyâr-ı Bekr'i fethi (478/1085),Bād/Bāz al-Kurdī Büveyhî zayıflığından yararlanarak bölgeyi ele geçirdi; Kürt aşiret beyliğinden şehir devletine dönüşüm,Chapter 5: Iraq and Jazira,Nasrüddevle Ahmed en ünlü emir; Silvan (Mayyāfāriqīn) ve Diyarbakır (Amid) merkezler; İslam kültürünün koruyucuları; sikke bastılar,İranî|Kürt,Hanedan/Beylik,,Normal,38.18,41.05,102,10,11,Irak/Cezîre,38.0,41.0,39.0,37.0,43.0,38.0,Vasal Devlet,Sünnî Şâfiî,Kabile Ordusu,Tarım,,Geç Abbâsî
38,Ukaylîler,al-'Uqayliyyūn,The 'Uqaylids,Ukaylî kabilesi (Kuzey Arap / Āmir b. Sa'sa'a),Arap (Bedevî),Musul ve Cezire,"Musul; Cezire (Ceziretülibn Ömer, Nusaybin, Balad); Tikrit; Hit; Ukbara; Ana; Hadise; Kal'atü Ca'ber",Musul (Mawsil),380,489,990,1096,1. Ceziretülibn Ömer/Nusaybin/Balad (Muhammad b. al-Musayyab); 2. Musul ve ardından Cezire (aynı soydan); 3. Tikrit kolu (Ma'n b. al-Muqallad); 4. Hit kolu; 5. Ukbara kolu; 6. Ana/Hadise ve Kal'atü Ca'ber kolları,Fâtımîler (zaman zaman); Mirdâsîler,Büveyhîler; Selçuklular,Hamdânîler (Musul mirası),Selçuklu fethi,Selçuklu baskısı; son emirin teslim olması,Ukaylî Bedevîleri Büveyhî zayıflığından yararlanarak Musul ve Cezire'yi ele geçirdi; birçok küçük kol,Chapter 5: Iraq and Jazira,Muslim b. Quraysh en güçlü emir; Halep'i de kısa süre kontrol etti (472/1080 Mirdâsîlerden); Şiî eğilimli; sikke bastılar; çok sayıda küçük kol,Arap,Hanedan/Beylik,Şiî,Yüksek,36.34,43.13,106,10,11,Irak/Cezîre,36.5,38.5,38.0,35.0,41.0,36.0,Kabile Konfederasyonu,Sünnî Hanefî,Kabile Ordusu,Tarım,,Geç Abbâsî
39,Nümeyrîler,al-Numayriyyūn,The Numayrids,Numayri kabilesi (Kuzey Arap),Arap (Bedevî),Harran ve Edessa (Urfa) bölgesi,Harran; Edessa (al-Ruhā/Urfa); Sarūj; Raqqa,Harran; Edessa (al-Ruhā),c. 380,c. 474,c. 990,c. 1081,,Mirdâsîler (akrabalık),Bizans; Selçuklular; Fâtımîler,,Selçuklu fethi; ardından Haçlı Edessa Kontluğu,Selçuklu ilerleyişi; bölge Haçlı döneminde Edessa Kontluğu'na dönüştü,Numayri Bedevîleri Yukarı Mezopotamya'ya göç etti; Büveyhî ve Fâtımî zayıflığından yararlandı,Chapter 5: Iraq and Jazira,Küçük Bedevî emirliği; Harran ve Urfa (Edessa) merkezli; Mirdâsîlerle akraba; Bizans ve Selçuklu baskısı altında kısa ömürlü; bilgi kaynakları sınırlı,Arap,Hanedan/Beylik,,Düşük,36.87,39.03,91,10,11,Irak/Cezîre,36.8,39.0,37.5,36.0,40.0,37.5,Vasal Devlet,Sünnî Hanefî,Kabile Ordusu,Tarım,,Geç Abbâsî
40,Karmatîler (Ebû Saîdî kolu),al-Qarāmita (Āl Abī Sa'īd al-Jannābī),The Carmathian or Qarmati Rulers of the line of Abū Sa'īd al-Jannābī,İsmâilî mezhep hareketi,Arap (çeşitli),Doğu Arabistan (al-Ahsā / Bahreyn),al-Ahsā; Bahreyn; Güney Irak (geçici); Suriye sınırı (geçici); Umân (geçici),al-Ahsā (Lahsā),c. 273,470,c. 886,1078,,,Fâtımîler; Abbâsîler; Selçuklular,,Uyûnîler (Banū Murra),Selçuklu-Abbâsî ortak seferi ve yerel Bedevî reis (Uyûnî) saldırısı (470/1078),317/930'da Kâbe'den Hacerülesved'i çaldılar (20 yıl sonra iade); komünal mülkiyet denemeleri; siyah köle emeği; ihtiyarlar meclisi (al-'Iqdāniyya),Chapter 6: Arabian Peninsula,Radikal İsmâilî Şiîlik; Fâtımî iddialarını reddettiler; geç dönemde ılımlılaştı; cumhur benzeri yönetim; sikkeleri Suriye/Filistin sınırında basıldı,Arap,Hanedan/Beylik,Şiî,Normal,25.38,49.59,192,9,11,Arap Yarımadası,25.5,49.5,27.0,24.0,51.0,48.0,Tarikat Devleti,Şiî İsmâilî (Karmatî),Kabile Ordusu,Ticaret/Transit,,Geç Abbâsî
41,Yemen Zeydî İmamları,al-A'imma al-Zaydiyya fī al-Yaman,The Zaydī Imāms of Yemen,Hasanî Şerifler (Rassî kolu),Arap (Şerif/Hasanî),Yüksek Yemen (Sa'de ve San'a),Sa'de; San'a; Yemen yayla bölgesi,Sa'de; San'a (değişen),284,1382,897,1962,1. Rassî kolu (erken dönem); 2. Kāsimî kolu (c. 1000/1592 sonrası),,Karmatîler; Süleyhîler; Eyyûbîler; Resûlîler; Osmanlılar,,Yemen Arap Cumhuriyeti (1962 darbesi; 1970 cumhuriyet),1962 askeri darbesi; iç savaş; 1970 cumhuriyet,al-Qāsim b. İbrāhīm Medine'den Yemen'e geldi; Sa'de merkezli; Zeydî davet İslam dünyasına yayıldı; Osmanlılar 954/1547'de San'a'yı aldı; 1045/1635'te yeniden bağımsız,Chapter 6: Arabian Peninsula,1000+ yıl devam eden imamet; ılımlı Şiîlik; Hamîdüddîn ailesi son kol; İmam Yahyā (1904-48) ve İmam Ahmed (1948-62); kapalı toplum; 20. yy modernleşme baskısı,Arap,Hanedan/Beylik,Şiî,Normal,16.94,43.76,1065,9,20,Arap Yarımadası,15.5,44.0,18.0,13.0,46.0,42.0,Teokratik Devlet,Şiî Zeydî,Kabile Ordusu,Tarım,Mimari,Timurlu
42,Ziyâdîler,al-Ziyādiyyūn,The Ziyādids,Ziyâd b. Ebîhi soyundan (iddia),Arap,Yemen (Tihâme),Zebîd; Tihâme; Hadramevt (kısmen),Zebîd (Zabīd),203,409,818,1018,,Abbâsîler (tâbiiyet),Yu'firîler; Zeydî İmamlar,Abbâsî valileri,Necâhîler (Habeşli köle vezirleri),Son Ziyâdîler kukla; güç Habeşli köle vezirlere geçti; 409/1018,Muhammad b. Ziyād Abbâsî halifesi al-Me'mûn tarafından Yemen valisi atandı; Şiî muhalefeti bastırmak amacıyla,Chapter 6: Arabian Peninsula,200 yıl hüküm sürdüler; Zebîd Tihâme'nin merkezi; Ebü'l-Ceyş İshâk'ın uzun saltanatı; son dönemde kukla,Arap,Hanedan/Beylik,,Normal,14.2,43.32,200,9,11,Arap Yarımadası,14.0,43.5,15.5,13.0,44.5,42.5,Vasal Devlet,Sünnî Şâfiî,Gulâm/Memlûk Sistemi,Tarım,Mimari,Erken Abbâsî
43,Yu'firîler (Ya'furîler),al-Yu'firiyyūn,The Yu'firids or Ya'furids,Himyerî (eski Tubba' kralları soyundan iddia),Arap (Güney Arap),Yemen yayla bölgesi,San'a; Cenad (Janad),San'a; Cenad,232,387,847,997,,Abbâsîler (bağlılık),Zeydî İmamlar; Karmatîler; Fâtımî dāʿīler,Abbâsî valileri,Küçük yerel beyler,İç çekişmeler; güç kaybı; 387/997 sonra küçük yerel beyler,Yu'fir San'a ve Cenad'ı ele geçirerek Yemen yaylasında ilk yerel hanedan oldu,Chapter 6: Arabian Peninsula,Şibâm kökenli; Abbâsî bağlılığı sürdürdü; Es'ad b. İbrâhîm döneminde istikrar; Zeydî ve Karmatî rekabeti,Arap,İmamet,Şiî,Normal,15.35,44.21,150,9,10,Arap Yarımadası,15.0,44.0,16.0,13.5,45.0,43.0,Vasal Devlet,Sünnî Şâfiî,Kabile Ordusu,Tarım,,Erken Abbâsî
44,Necâhîler,al-Najāhiyyūn,The Najāhids,Habeşli (Habashi) köle kökenli,Habeş (Etiyopyalı),Yemen (Tihâme),Zebîd; Tihâme,Zebîd,412,553,1022,1158,,Abbâsîler (bağlılık),Süleyhîler; Mehdîler; Zeydî İmamlar,Ziyâdîler (köle vezirleri),Mehdîler (554/1159),Mehdîlerin Zebîd'i fethi (554/1159); Zeydî İmam tarafından son Necâhî devrildi,Necâh Ziyâdî köle vezirlerinden biri; rakibini öldürüp bağımsız hükümdar oldu; Habeşli asker ithalatı devam etti,Chapter 6: Arabian Peninsula,Siyah Habeşli köle hanedanı; Yemen'deki ırk karışımına katkı; Süleyhîler tarafından iki kez kovuldu; 136 yıl hüküm sürdüler,Karışık/Bilinmeyen,Hanedan/Beylik,,Normal,14.2,43.32,136,11,12,Arap Yarımadası,14.0,43.5,15.0,13.0,44.0,42.5,Gulâm/Köle Hanedanı,Sünnî Şâfiî,Gulâm/Memlûk Sistemi,Tarım,,Selçuklu Çağı
